TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
4507,0419,1762,05:46:30,G
4001,0411,0433,05:58:00,G
4509K,0409,1762,06:03:00,G
4003,0412,0433,06:09:00,G
4511,0409,1762,06:15:00,G
4005,0409,0433,06:21:00,G
4513,0409,1762,06:27:00,G
4007,0409,0433,06:33:00,G
4301,0409,1759,06:39:00,G
4009,0409,0433,06:45:00,G
4515,0409,1762,06:51:00,G
4011,0409,0433,06:57:00,G
4517,0409,1762,07:03:00,G
4013,0409,0433,07:09:00,G
4519,0409,1762,07:15:00,G
4015,0409,0433,07:21:00,G
4521,0409,1762,07:27:00,G
4523K,0409,1762,07:33:00,G
4017,0409,0433,07:39:00,G
4525K,0409,1762,07:45:00,G
4303K,0409,1759,07:51:00,G
4527K,0409,1762,07:57:00,G
4019,0409,0433,08:03:00,G
4529K,0409,1762,08:09:00,G
4021,0409,0433,08:15:00,G
4531,0409,1762,08:21:00,G
4023,0409,0433,08:27:00,G
4533K,0409,1762,08:33:00,G
4025,0409,0433,08:39:00,G
4535K,0409,1762,08:45:00,G
4027,0409,0433,08:51:00,G
4537,0409,1762,08:57:00,G
4029,0409,0433,09:03:00,G
4539K,0409,1762,09:09:00,G
4031,0409,0433,09:15:00,G
4541K,0409,1762,09:21:00,G
4033,0409,0433,09:27:00,G
4543K,0409,1762,09:33:00,G
4035,0409,0433,09:39:00,G
4545K,0409,1762,09:45:00,G
4037,0409,0433,09:51:00,G
4305,0409,1759,09:57:00,G
4547K,0409,1762,10:03:00,G
4039,0409,0433,10:09:00,G
4549K,0409,1762,10:15:00,G
4041,0409,0433,10:21:00,G
4551,0409,1762,10:27:00,G
4043,0409,0433,10:33:00,G
4553,0409,1762,10:39:00,G
4045,0409,0433,10:45:00,G
4555K,0409,1762,10:51:00,G
4047,0409,0433,10:57:00,G
4557,0409,1762,11:03:00,G
4049,0409,0433,11:09:00,G
4559,0409,1762,11:15:00,G
4051,0409,0433,11:21:00,G
4561,0409,1762,11:27:00,G
4053,0409,0433,11:33:00,G
4563,0409,1762,11:39:00,G
4055,0409,0433,11:45:00,G
4565K,0409,1762,11:51:00,G
4057,0409,0433,11:57:00,G
4567K,0409,1762,12:03:00,G
4569K,0409,1762,12:08:00,G
4059,0409,0433,12:12:00,G
4307,0409,1759,12:16:00,G
4061,0412,0433,12:20:00,G
4571K,0409,1762,12:24:00,G
4063,0409,0433,12:28:00,G
4573,0409,1762,12:33:00,G
4065,0409,0433,12:38:00,G
4575K,0409,1762,12:43:00,G
4067,0409,0433,12:48:00,G
4577K,0409,1762,12:53:00,G
4579K,0409,1762,12:58:00,G
4069,0409,0433,13:03:00,G
4581,0409,1762,13:08:00,G
4071,0409,0433,13:12:00,G
4583K,0409,1762,13:16:00,G
4073,0412,0433,13:20:00,G
4585K,0409,1762,13:24:00,G
4075,0409,0433,13:28:00,G
4587K,0409,1762,13:33:00,G
4077,0409,0433,13:38:00,G
4589K,0409,1762,13:43:00,G
4591K,0409,1762,13:48:00,G
4079,0409,0433,13:53:00,G
4593K,0409,1762,13:58:00,G
4081,0409,0433,14:03:00,G
4309,0409,1759,14:08:00,G
4595K,0409,1762,14:13:00,G
4083,0409,0433,14:17:00,G
4311K,0409,1759,14:21:00,G
4085,0409,0433,14:25:00,G
4597K,0409,1762,14:29:00,G
4087,0409,0433,14:33:00,G
4599,0409,1762,14:38:00,G
4089,0409,0433,14:43:00,G
4601K,0409,1762,14:48:00,G
4091,0409,0433,14:53:00,G
4313,0409,1759,14:58:00,G
4603K,0409,1762,15:03:00,G
4093,0409,0433,15:08:00,G
4605,0409,1762,15:13:00,G
4095,0409,0433,15:17:00,G
4607K,0409,1762,15:21:00,G
4097,0409,0433,15:25:00,G
4315,0409,1759,15:29:00,G
4099,0409,0433,15:33:00,G
4609,0409,1762,15:38:00,G
4101,0409,0433,15:43:00,G
4611K,0409,1762,15:48:00,G
4317,0409,1759,15:53:00,G
4103,0409,0433,15:58:00,G
4613K,0409,1762,16:03:00,G
4105,0409,0433,16:08:00,G
4319K,0409,1759,16:13:00,G
4615K,0409,1762,16:18:00,G
4107,0409,0433,16:22:00,G
4321,0409,1759,16:26:00,G
4109,0409,0433,16:30:00,G
4617K,0409,1762,16:34:00,G
4111,0409,0433,16:38:00,G
4619,0409,1762,16:43:00,G
4113,0409,0433,16:48:00,G
4621K,0409,1762,16:53:00,G
4115,0409,0433,16:58:00,G
4623K,0409,1762,17:03:00,G
4625K,0409,1762,17:08:00,G
4117,0409,0433,17:13:00,G
4627,0409,1762,17:18:00,G
4119,0409,0433,17:23:00,G
4629K,0409,1762,17:28:00,G
4631K,0409,1762,17:33:00,G
4121,0409,0433,17:38:00,G
4633K,0409,1762,17:43:00,G
4123,0409,0433,17:48:00,G
4635K,0409,1762,17:53:00,G
4637K,0409,1762,17:58:00,G
4125,0409,0433,18:03:00,G
4639K,0409,1762,18:09:00,G
4127,0409,0433,18:15:00,G
4641K,0409,1762,18:21:00,G
4129,0409,0433,18:27:00,G
4643K,0409,1762,18:33:00,G
4645K,0409,1762,18:39:00,G
4131,0409,0433,18:45:00,G
4647,0409,1762,18:51:00,G
4133,0409,0433,18:57:00,G
4649K,0409,1762,19:02:00,G
4135,0409,0433,19:07:00,G
4651,0409,1762,19:12:00,G
4653K,0409,1762,19:17:00,G
4137,0409,0433,19:22:00,G
4655K,0409,1762,19:27:00,G
4139,0409,0433,19:33:00,G
4657,0409,1762,19:39:00,G
4141,0409,0433,19:45:00,G
4659,0409,1762,19:51:00,G
4143,0409,0433,19:56:00,G
4661K,0409,1762,20:01:00,G
4663,0409,1762,20:06:00,G
4145,0409,0433,20:11:00,G
4665K,0409,1762,20:16:00,G
4147,0409,0433,20:21:00,G
4323K,0409,1759,20:26:00,G
4667,0409,1762,20:31:00,G
4149,0409,0433,20:36:00,G
4669,0409,1762,20:41:00,G
4671K,0409,1762,20:46:00,G
4151,0409,0433,20:51:00,G
4673,0409,1762,20:57:00,G
4153,0409,0433,21:03:00,G
4675K,0409,1762,21:09:00,G
4155,0409,0433,21:15:00,G
4677,0409,1762,21:21:00,G
4157,0409,0433,21:27:00,G
4679,0409,1762,21:33:00,G
4159,0409,0433,21:39:00,G
4681K,0409,1762,21:45:00,G
4161,0409,0433,21:51:00,G
4683K,0409,1762,21:57:00,G
4163,0409,0433,22:03:00,G
4685K,0409,1762,22:09:00,G
4165,0409,0433,22:15:00,G
4687K,0409,1762,22:20:00,G
4689K,0409,1762,22:26:00,G
4167,0409,0433,22:33:00,G
4691K,0409,1762,22:40:00,G
4169,0409,0433,22:47:00,G
4325K,0409,1759,22:57:00,G
4171,0409,0433,23:08:00,G
4327K,0409,1759,23:18:00,G
4173,0409,0434,23:29:00,G
4329K,0409,1751,23:40:00,G
4175,0409,0426,23:57:00,G
