TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K5009,1284,1220,05:37:20,G
K2201,1284,1251,05:45:00,G
K5011,1271,1219,00:00:00,G
K5013,1284,1210,06:02:00,G
K5015,1284,1219,06:14:00,G
K2203,1284,1251,06:23:00,G
K5017,1284,1219,06:32:00,G
K5019,1284,1219,06:40:00,G
K2205,1284,1251,06:48:30,G
K5021,1284,1219,06:59:30,G
K5023,1284,1210,07:10:00,G
K5025,1284,1219,07:26:00,G
K5301,1284,100C,07:33:00,G
K2207,1284,1251,07:39:00,G
K5027,1284,1219,07:49:00,G
K5029,1275,1219,07:54:30,G
K2209,1284,1251,07:59:00,G
K5031,1284,1220,08:07:00,G
K5033,1284,1208,08:14:00,G
K5231,1284,1014,08:26:30,G
K5037,1284,1208,08:43:00,G
K5039,1284,1219,08:54:00,G
K2211,1284,1251,09:04:00,G
K5043,1284,1219,09:15:00,G
K5045,1284,1219,09:32:00,G
K5047,1284,1208,09:45:00,G
K5049,1275,1219,09:55:00,G
K2213,1284,1251,10:02:00,G
K5051,1284,1208,10:10:00,G
K5053,1284,1219,10:21:00,G
K5055,1284,1208,10:40:00,G
K2215,1284,1251,10:53:00,G
K5059,1284,1208,11:02:00,G
K5061,1284,1219,11:19:00,G
K5063,1284,1208,11:40:00,G
K2217,1284,1251,11:48:00,G
K5065,1284,1219,11:58:00,G
K5067,1284,1208,12:14:00,G
K5069,1284,1219,12:32:00,G
K5071,1284,1208,12:47:10,G
K5073,1284,1219,13:03:00,G
K5075,1284,1208,13:15:30,G
K5077,1284,1219,13:39:00,G
K5079,1275,1208,13:48:00,G
K5081,1284,1219,14:00:00,G
K5083,1284,1208,14:10:00,G
K5085,1284,1220,14:24:00,G
K2223,1284,1251,14:33:00,G
K5087,1284,1208,14:47:00,G
K5089,1275,1208,14:58:00,G
K5091,1284,1219,15:06:00,G
K5093,1284,1208,15:19:00,G
K5095,1284,1219,15:39:00,G
K5097,1284,1210,15:51:00,G
K5099,1284,1219,16:04:00,G
K5101,1284,1208,16:19:00,G
K5103,1284,1219,16:39:00,G
K5105,1284,1208,16:47:00,G
K5107,1284,1219,17:00:00,G
K5109,1284,1208,17:13:30,G
K5111,1284,1220,17:21:00,G
K2225,1284,1251,17:31:00,G
K5115,1284,1210,17:40:00,G
K2231,1284,1251,17:56:30,G
K5119,1284,1208,18:02:00,G
K5303,1284,100C,18:09:00,G
K2233,1284,1251,18:17:00,G
K5123,1284,1208,18:29:30,G
K5125,1284,1208,18:41:00,G
K2235,1284,1251,18:46:00,G
K5127,1284,1219,18:51:00,G
K5851,1284,1219,18:59:00,D
K5129,1284,1219,19:05:00,G
K5133,1284,1208,19:12:00,G
K2237,1284,1251,19:25:00,G
K5135,1284,1219,19:32:00,G
K5139,1284,1219,19:50:00,G
K5141,1284,1219,20:08:00,G
K5143,1275,1208,20:21:00,G
K2239,1284,1251,20:26:00,G
K5145,1284,1219,20:41:00,G
K5147,1284,1219,21:02:00,G
K5149,1284,1208,21:13:00,G
K2241,1284,1251,21:20:00,G
K5853,1284,1219,21:28:00,D
K5151,1284,1219,21:40:00,G
K5153,1284,1208,21:48:00,G
K5155,1275,1219,21:58:00,G
K5157,1284,1208,22:04:00,G
K5159,1275,1219,22:22:00,G
K5161,1284,1208,22:34:00,G
K2243,1284,1251,22:41:00,G
K5163,1284,1219,22:48:00,G
K5165,1275,1014,22:58:00,G
K2245,1284,1251,23:08:00,G
K5167,1284,1208,23:21:00,G
K5171,1284,1014,23:46:00,G
