TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K5001,1014,1219,06:04:40,G
K5003,100C,1219,06:15:10,G
K5005,100C,1219,06:41:00,G
K5007,100C,1219,07:06:30,G
K5009,1284,1220,07:23:40,G
K5011,1271,1219,07:37:00,G
K5015,1284,1219,08:00:40,G
K5017,1284,1219,08:21:10,G
K5019,1284,1219,08:27:10,G
K5021,1284,1219,08:47:00,G
K5025,1284,1219,09:15:20,G
K5027,1284,1219,09:31:40,G
K5029,1275,1219,09:40:40,G
K5031,1284,1220,09:56:00,G
K5035,1267,1219,10:24:00,G
K5039,1284,1219,10:37:40,G
K5043,1284,1219,11:03:10,G
K5045,1284,1219,11:20:10,G
K5049,1275,1219,11:36:40,G
K5053,1284,1219,12:07:30,G
K5057,100C,1219,12:31:10,G
K5061,1284,1219,13:08:50,G
K5065,1284,1219,13:43:30,G
K5069,1284,1219,14:19:30,G
K5073,1284,1219,14:49:20,G
K5077,1284,1219,15:24:10,G
K5081,1284,1219,15:44:00,G
K5085,1284,1220,16:14:00,G
K5091,1284,1219,16:54:30,G
K5095,1284,1219,17:23:40,G
K5099,1284,1219,17:53:00,G
K5103,1284,1219,18:26:10,G
K5107,1284,1219,18:46:30,G
K5111,1284,1220,19:09:10,G
K5117,1267,1219,19:40:30,G
K5707,1284,1219,20:05:30,D
K5127,1284,1219,20:41:30,G
K5129,1284,1219,20:54:30,G
K5135,1284,1219,21:17:40,G
K5139,1284,1219,21:36:40,G
K5141,1284,1219,21:57:10,G
K5145,1284,1219,22:24:40,G
K5147,1284,1219,22:46:40,G
K5151,1284,1219,23:20:40,G
K5155,1275,1219,23:39:10,G
K5159,1275,1219,24:07:40,G
K5163,1284,1219,24:29:40,G
