TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K1,1701,1812,05:09:30,G
K3,1006,1812,05:25:30,G
K5,1006,1812,05:39:30,G
K7,1701,1812,05:52:30,G
K9,1019,1812,06:00:00,G
S11,0159,1812,06:04:30,G
K13,1022,1812,06:10:30,G
S15,0159,1812,06:18:30,G
K17,1906,1812,06:28:30,G
K19,1909,1812,06:35:30,G
K21,1701,1812,06:41:30,G
K23,1909,1812,06:47:30,G
K25,1022,1812,06:53:30,G
S27,0159,1812,07:02:00,G
K29,1916,1812,07:07:30,G
S31,0159,1812,07:16:00,G
K33,1909,1812,07:24:30,G
S35,0159,1812,07:31:30,G
K37,1916,1812,07:38:00,G
S39,1019,1812,07:44:00,G
K41,1906,1812,07:50:30,G
K43,1916,1812,07:57:30,G
K45,1906,1812,08:03:30,G
S47,1909,1812,08:10:30,G
K49,1915,1812,08:17:00,G
K51,1909,1812,08:25:00,G
K1601,1915,1812,08:32:00,D
K53,1916,1812,08:38:00,G
K55,1909,1812,08:45:00,G
K57,1915,1812,08:52:00,G
K59,1916,1812,08:58:30,G
K1603,1916,1812,09:11:00,D
K63,1915,1812,09:17:30,G
K65,1909,1812,09:29:30,G
K67,1915,1812,09:37:00,G
K1605,1916,1812,09:42:00,D
K71,1915,1812,09:55:00,G
K73,1915,1812,10:05:00,G
K75,1909,1812,10:14:30,G
K77,1916,1812,10:21:30,G
S79,1906,1812,10:29:30,G
S83,1906,1812,10:44:30,G
K85,1916,1812,10:56:30,G
K87,1915,1812,11:07:00,G
K89,1906,1812,11:17:30,G
K91,1916,1812,11:26:30,G
K93,1909,1812,11:36:30,G
K95,1022,1812,11:48:30,G
K97,1909,1812,11:58:30,G
K99,1916,1812,12:07:30,G
S101,1909,1812,12:17:30,G
K103,1916,1812,12:27:30,G
K105,1906,1812,12:37:30,G
S107,1909,1812,12:47:00,G
K109,1916,1812,12:57:30,G
K1607,1915,1812,13:07:30,D
K111,1906,1812,13:17:00,G
K115,1916,1812,13:26:30,G
K117,1906,1812,13:38:30,G
K119,1909,1812,13:47:30,G
K121,1701,1812,13:57:30,G
K1609,1915,1812,14:07:30,D
K125,1909,1812,14:17:30,G
K127,1916,1812,14:27:00,G
K129,1906,1812,14:37:30,G
K131,1909,1812,14:47:30,G
K133,1916,1812,14:57:30,G
S135,1906,1812,15:08:30,G
S137,1909,1812,15:17:30,G
K139,1701,1812,15:28:30,G
K141,1916,1812,15:37:00,G
K143,1906,1812,15:47:30,G
K147,1916,1812,15:57:30,G
K149,1906,1812,16:07:30,G
K151,1909,1812,16:16:30,G
K153,1916,1812,16:26:30,G
S155,1906,1812,16:37:30,G
K1613,1915,1812,16:46:30,D
K161,1916,1812,16:56:30,G
S163,1906,1812,17:06:30,G
K165,1909,1812,17:16:30,G
K167,1701,1812,17:22:30,G
K169,1916,1812,17:26:30,G
K171,1906,1812,17:36:30,G
S173,0159,1812,17:46:30,G
K175,1916,1812,17:56:30,G
K177,1906,1812,18:04:30,G
K1615,1915,1812,18:13:00,D
K181,1701,1812,18:18:30,G
K183,1906,1812,18:22:30,G
K185,1916,1812,18:30:00,G
K187,1906,1812,18:39:30,G
K189,1909,1812,18:47:30,G
K191,1916,1812,18:56:00,G
K193,1906,1812,19:04:30,G
K195,1916,1812,19:13:30,G
K197,1909,1812,19:20:30,G
K199,1906,1812,19:27:30,G
K201,1916,1812,19:34:30,G
K203,1022,1812,19:42:30,G
S205,1909,1812,19:49:30,G
K207,1916,1812,19:57:30,G
K209,1906,1812,20:04:30,G
K211,1915,1812,20:12:00,G
K213,1909,1812,20:19:30,G
K215,1916,1812,20:27:00,G
S217,1022,1812,20:34:30,G
K219,1915,1812,20:42:00,G
K221,1909,1812,20:51:30,G
K223,1916,1812,20:59:30,G
K225,1909,1812,21:07:30,G
K227,1906,1812,21:14:30,G
K229,1916,1812,21:21:30,G
K231,1915,1812,21:29:00,G
S233,1906,1812,21:36:30,G
K235,1916,1812,21:43:00,G
K237,1915,1812,21:53:00,G
K239,1906,1812,22:01:30,G
K241,1916,1812,22:12:00,G
S243,1909,1812,22:21:30,G
K245,1915,1812,22:32:00,G
K247,1916,1812,22:41:30,G
K249,1906,1812,22:50:30,G
K251,1909,1812,23:02:30,G
K253,1909,1812,23:14:30,G
K255,1906,1812,23:25:30,G
K257,1916,1812,23:36:00,G
K259,1909,1812,23:46:30,G
K261,1916,1812,23:57:30,G
K263,1909,1812,24:10:30,G
